,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
65,03-01-2025,18,14824.63,9430.0,8704.94,8704.94,6948.6,6841.21
66,03-01-2025,19,16245.73,8667.25,8649.74,8649.74,10000.0,10000.0
67,03-01-2025,20,12104.0,9584.23,7335.39,7335.39,4549.77,4560.57
68,03-01-2025,21,9893.48,12683.73,6514.65,6514.65,3624.88,3637.5
69,03-01-2025,22,9015.0,17492.95,7031.78,7031.78,3160.02,3159.73
70,03-01-2025,23,9509.93,22790.0,7402.86,7402.86,2833.74,2832.1
71,03-01-2025,24,10283.9,27141.15,8605.34,8605.34,2562.86,2561.42
72,04-01-2025,1,12245.93,31054.98,10130.45,10130.45,2442.29,2442.16
73,04-01-2025,2,12248.63,32711.18,10333.68,10333.68,2392.52,2392.58
74,04-01-2025,3,11825.3,33680.58,10273.04,10273.04,2343.59,2343.57
75,04-01-2025,4,11651.5,33994.33,10243.81,10243.81,2272.99,2272.78
76,04-01-2025,5,11847.55,32668.23,10316.9,10316.9,2327.28,2326.99
77,04-01-2025,6,12250.08,26025.78,10167.15,10167.15,2703.96,2697.04
78,04-01-2025,7,14324.9,17614.9,10497.97,10497.97,3778.3,3784.41
79,04-01-2025,8,19598.98,13165.4,11977.09,11977.09,7437.6,7433.63
80,04-01-2025,9,20820.43,11585.03,11266.12,11266.12,9338.15,9327.96
81,04-01-2025,10,18551.13,12069.05,11061.51,11061.51,6450.41,6445.33
82,04-01-2025,11,16814.05,13580.38,10429.54,10429.54,4542.16,4551.13
83,04-01-2025,12,14186.93,16247.4,8887.03,8887.03,3481.54,3483.28
84,04-01-2025,13,11778.78,21634.35,8330.43,8330.43,3146.68,3146.26
85,04-01-2025,14,11411.3,27284.55,8339.28,8339.28,2825.27,2825.82
86,04-01-2025,15,12980.98,27689.1,10433.13,10433.13,2949.53,2950.39
87,04-01-2025,16,15201.43,24006.4,11262.77,11262.77,3258.36,3262.11
88,04-01-2025,17,16964.73,15600.3,11682.13,11682.13,3983.61,3977.77
89,04-01-2025,18,15060.08,8653.95,8223.43,8223.43,7678.75,7490.98
90,04-01-2025,19,18241.18,7678.2,7645.7,7645.7,10000.0,10000.0
91,04-01-2025,20,13631.05,8384.35,7422.51,7422.51,5292.71,5293.35
92,04-01-2025,21,10559.13,10885.15,6199.05,6199.05,3813.65,3830.03
93,04-01-2025,22,10147.43,15028.6,6838.55,6838.55,3435.79,3435.78
94,04-01-2025,23,10169.6,19954.48,7294.38,7294.38,3177.98,3177.66
95,04-01-2025,24,11123.75,24073.88,8409.03,8409.03,3019.48,3017.2
96,05-01-2025,1,11162.3,29556.03,8977.86,8977.86,2543.12,2541.72
97,05-01-2025,2,11233.33,31698.45,9519.49,9519.49,2392.62,2392.1
98,05-01-2025,3,10875.78,32500.75,9517.6,9517.6,2174.36,2174.32
99,05-01-2025,4,10648.6,32652.25,9254.73,9254.73,2191.83,2191.95
100,05-01-2025,5,10738.2,31296.9,9337.88,9337.88,2205.57,2205.58
101,05-01-2025,6,11126.28,24550.08,9177.6,9177.6,2821.09,2817.1
102,05-01-2025,7,12665.73,18046.8,9547.93,9547.93,3532.84,3532.2
103,05-01-2025,8,15806.63,14120.43,10638.19,10638.19,4769.98,4785.6
104,05-01-2025,9,16418.73,12463.03,10421.19,10421.19,5745.34,5739.14
105,05-01-2025,10,15462.15,12579.6,9677.22,9677.22,4657.47,4664.23
106,05-01-2025,11,12669.65,13875.13,7941.56,7941.56,3580.27,3582.35
107,05-01-2025,12,10128.4,17432.43,6705.98,6705.98,3218.44,3216.49
108,05-01-2025,13,9276.43,21410.78,6749.47,6749.47,2775.66,2775.54
109,05-01-2025,14,8357.25,26133.88,6972.68,6972.68,2295.99,2295.71
110,05-01-2025,15,9807.08,27760.33,8040.67,8040.67,2717.25,2724.51
111,05-01-2025,16,11989.3,24194.63,9446.2,9446.2,3043.65,3051.67
112,05-01-2025,17,13260.33,17955.73,9146.27,9146.27,3373.2,3372.11
113,05-01-2025,18,12374.58,10372.4,6966.95,6966.95,4276.15,4258.43
114,05-01-2025,19,15244.85,9846.0,8398.75,8398.75,7150.4,7164.58
115,05-01-2025,20,12016.05,10296.63,7136.54,7136.54,4192.87,4198.09
116,05-01-2025,21,9254.88,13702.98,6125.95,6125.95,3325.41,3331.5
117,05-01-2025,22,8295.9,16775.6,6484.73,6484.73,3097.83,3097.78
118,05-01-2025,23,8049.33,20317.33,6017.34,6017.34,2795.35,2795.33
119,05-01-2025,24,9021.08,25690.18,7289.27,7289.27,2622.3,2616.28
120,06-01-2025,1,9817.85,27504.0,8340.48,8340.48,2235.56,2234.81
121,06-01-2025,2,9666.23,29578.18,8334.63,8334.63,2113.26,2113.27
122,06-01-2025,3,9868.63,31020.28,8766.23,8766.23,2080.33,2080.34
123,06-01-2025,4,9869.0,31368.93,8731.23,8731.23,2059.99,2060.02
124,06-01-2025,5,10011.2,29791.58,8823.13,8823.13,2124.03,2124.14
125,06-01-2025,6,11013.98,21210.48,8295.85,8295.85,2991.71,2982.26
126,06-01-2025,7,13889.35,14083.18,9262.98,9262.98,4143.71,4156.55
127,06-01-2025,8,19089.25,10076.13,9919.25,9919.25,8975.17,8982.29
128,06-01-2025,9,20997.38,9802.28,9802.28,9802.28,10000.0,10000.0
129,06-01-2025,10,20364.98,10026.8,10016.34,10016.34,9977.46,9976.48
130,06-01-2025,11,17287.68,11320.85,9410.21,9410.21,5533.16,5584.95
131,06-01-2025,12,14774.05,15152.25,7723.38,7723.38,3748.0,3749.32
132,06-01-2025,13,11849.03,17442.58,7179.29,7179.29,3215.23,3215.52
133,06-01-2025,14,9855.25,20598.78,7450.1,7450.1,2586.34,2585.65
134,06-01-2025,15,11711.5,21850.2,8532.82,8532.82,2922.02,2930.29
135,06-01-2025,16,15171.85,19751.35,10094.16,10094.16,3492.15,3505.7
136,06-01-2025,17,18439.13,13205.53,11573.98,11573.98,6027.63,6068.9
137,06-01-2025,18,17380.38,7066.8,7066.79,7066.79,10000.0,10000.0
138,06-01-2025,19,22730.08,6357.0,6357.0,6357.0,10000.0,10000.0
139,06-01-2025,20,17747.93,7048.65,7048.65,7048.65,10000.0,10000.0
140,06-01-2025,21,13760.63,10609.15,7614.74,7614.74,4619.71,4641.67
141,06-01-2025,22,9733.7,12684.45,6186.6,6186.6,3408.39,3408.51
142,06-01-2025,23,8892.18,14832.85,5986.58,5986.58,3149.91,3150.0
143,06-01-2025,24,10225.6,20175.6,6983.28,6983.28,3170.49,3170.48
144,07-01-2025,1,11383.58,26642.78,8828.68,8828.68,2717.42,2716.86
145,07-01-2025,2,11602.3,29661.63,9702.56,9702.56,2470.13,2468.81
146,07-01-2025,3,11155.2,32433.28,9765.67,9765.68,2223.18,2223.17
147,07-01-2025,4,11011.98,33059.08,9675.55,9675.55,2152.84,2152.89
148,07-01-2025,5,10309.2,30003.25,8956.75,8956.75,2157.11,2159.27
149,07-01-2025,6,11011.08,22046.65,8640.55,8640.55,2796.98,2793.84
150,07-01-2025,7,13982.75,13798.35,9273.45,9273.45,4017.91,4033.24
151,07-01-2025,8,18466.8,9310.75,9165.0,9165.0,9618.62,9611.3
152,07-01-2025,9,19924.93,9506.45,9506.45,9506.45,10000.0,10000.0
153,07-01-2025,10,20345.45,9531.73,9531.72,9531.72,10000.0,10000.0
154,07-01-2025,11,18173.4,10494.25,9438.91,9438.91,6300.38,6277.08
155,07-01-2025,12,14390.38,13912.15,7432.28,7432.28,3632.6,3638.71
156,07-01-2025,13,11859.1,16695.43,7040.93,7040.93,3255.73,3255.91
157,07-01-2025,14,9992.75,20629.5,7083.53,7083.53,2730.93,2731.25
158,07-01-2025,15,11871.25,22120.9,8408.04,8408.04,3052.49,3057.9
159,07-01-2025,16,15386.85,20610.05,10609.12,10609.12,3408.12,3416.67
160,07-01-2025,17,18054.23,13832.7,11588.48,11588.48,4391.49,4379.45
161,07-01-2025,18,18227.73,6946.9,6946.9,6946.9,10000.0,10000.0
162,07-01-2025,19,26512.4,6264.7,6264.7,6264.7,10000.0,10000.0
163,07-01-2025,20,17223.73,6643.58,6623.02,6623.02,9762.67,9753.01
164,07-01-2025,21,12067.93,9447.88,6349.23,6349.23,4327.78,4336.22
165,07-01-2025,22,9620.3,12815.6,6168.13,6168.13,3410.71,3410.96
166,07-01-2025,23,8737.73,15866.08,6160.11,6160.11,3112.66,3112.59
167,07-01-2025,24,9137.68,20625.88,6903.48,6903.48,2752.3,2747.77
168,08-01-2025,1,9961.08,27906.7,8207.03,8207.03,2438.02,2436.5
169,08-01-2025,2,10514.73,31270.03,9091.73,9091.73,2192.21,2191.86
170,08-01-2025,3,10732.45,33210.05,9507.51,9507.51,2118.2,2118.13
171,08-01-2025,4,10742.1,33600.3,9537.33,9537.33,2097.6,2097.6
172,08-01-2025,5,10485.83,30570.65,9237.61,9237.61,2126.02,2126.31
173,08-01-2025,6,10722.93,21321.43,8408.43,8408.43,2844.86,2840.03
174,08-01-2025,7,13879.63,12381.7,8987.43,8987.43,4243.49,4241.63
175,08-01-2025,8,19108.8,8555.48,8555.47,8555.47,10000.0,10000.0
176,08-01-2025,9,21721.65,8764.95,8764.95,8764.95,10000.0,10000.0
177,08-01-2025,10,18969.95,9396.9,9396.9,9396.9,10000.0,10000.0
178,08-01-2025,11,15014.58,10903.13,8598.87,8598.87,4322.53,4334.03
179,08-01-2025,12,12506.1,14370.88,7310.99,7310.99,3448.57,3448.39
180,08-01-2025,13,10711.45,16665.58,7219.38,7219.38,3142.91,3142.61
181,08-01-2025,14,9127.68,20740.78,7019.05,7019.05,2598.82,2599.69
182,08-01-2025,15,10617.68,21881.53,8161.2,8161.2,2904.52,2907.4
183,08-01-2025,16,13241.08,19731.78,9323.96,9323.96,3243.54,3250.7
184,08-01-2025,17,15793.38,11732.15,9911.75,9911.75,5516.55,5350.15
185,08-01-2025,18,18888.78,6280.53,6280.51,6280.51,10000.0,10000.0
186,08-01-2025,19,27403.65,6073.75,6073.75,6073.75,10000.0,10000.0
187,08-01-2025,20,17379.5,6389.88,6389.87,6389.87,9993.89,9993.63
188,08-01-2025,21,11365.58,10001.88,6622.92,6622.92,3864.73,3870.89
189,08-01-2025,22,9466.03,12616.08,5982.81,5982.81,3471.42,3471.47
190,08-01-2025,23,8464.0,16217.85,6194.25,6194.25,2991.34,2992.6
191,08-01-2025,24,9337.03,22816.68,6898.28,6898.28,2883.85,2881.02
192,09-01-2025,1,11234.6,26507.93,7965.46,7965.46,2861.7,2860.13
193,09-01-2025,2,11716.88,29155.05,9086.8,9086.8,2726.97,2726.81
194,09-01-2025,3,11375.4,30308.68,9192.37,9192.37,2572.54,2572.13
195,09-01-2025,4,11314.93,30334.65,9254.13,9254.13,2566.31,2566.3
